,Spanish,English
0,que,that
1,de,of
2,no,No
3,a,a
4,la,the
5,el,the
6,es,it is
7,y,Y
8,en,in
9,lo,it
10,un,a
11,por,by
12,qué,what
13,me,I
14,una,a
15,te,tea
16,los,the
17,se,I know
18,con,with
19,para,for
20,mi,me
21,está,this
22,si,Yes
23,bien,right
24,pero,but
25,yo,me
26,eso,it's
27,las,the
28,sí,Yes
29,su,its
30,tu,your
31,aquí,here
32,del,of
33,al,to the
34,como,What
35,le,you
36,más,plus
37,esto,this
38,ya,Already
39,todo,all
40,esta,is
41,vamos,we go
42,muy,very
43,hay,there are
44,ahora,now
45,algo,something
46,estoy,am
47,tengo,I've got
48,nos,us
49,tú,your
50,nada,any
51,cuando,when
52,ha,he has
53,este,East
54,sé,HE
55,estás,are
56,así,So
57,puedo,Can I
58,cómo,What
59,quiero,I want
60,sólo,single
61,soy,am
62,tiene,have
63,gracias,Thank you
64,o,either
65,él,the
66,bueno,Okay
67,fue,it was
68,ser,be
69,hacer,do
70,son,are
71,todos,everybody
72,era,it was
73,eres,are
74,vez,time
75,tienes,you have
76,creo,I think
77,ella,she
78,he,He
79,ese,that
80,voy,I go
81,puede,can
82,sabes,you know
83,hola,hello
84,sus,their
85,porque,because
86,dios,god
87,quién,who
88,nunca,never
89,dónde,where
90,quieres,you want
91,casa,House
92,favor,favour
93,esa,this
94,dos,two
95,tan,so
96,señor,mister
97,tiempo,weather
98,verdad,TRUE
99,estaba,I was
100,mejor,better
101,están,is it so
102,va,goes
103,hombre,men
104,usted,you
105,mucho,much
106,hace,does
107,entonces,then
108,siento,I feel
109,tenemos,we have
110,puedes,you may
111,ahí,there
112,ti,you
113,vida,life
114,ver,watch
115,alguien,someone
116,sr,Mr
117,sin,without
118,mí,my
119,solo,only
120,años,years
121,sobre,on
122,decir,tell
123,uno,one
124,siempre,forever
125,oh,Oh
126,ir,to go
127,cosas,stuff
128,también,also
129,antes,before
130,has,you have
131,ni,neither
132,mis,my
133,día,day
134,estar,be
135,estamos,we're
136,noche,night
137,nadie,no one
138,otra,other
139,quiere,wants
140,parece,It seems
141,nosotros,us
142,poco,little bit
143,padre,dad
144,trabajo,worked
145,gente,people
146,mira,look
147,vas,you go
148,sea,be
149,les,them
150,donde,where
151,mismo,same
152,hecho,done
153,ellos,they
154,dijo,said
155,pasa,happens
156,dinero,money
157,hijo,son
158,tal,such
159,otro,other
160,hablar,speak
161,seguro,sure
162,claro,Sure
163,estas,these
164,lugar,place
165,amigo,dude
166,espera,wait
167,mierda,shit
168,han,they have
169,tus,your
170,sabe,knows
171,después,after
172,momento,moment
173,desde,since
174,fuera,outside
175,cosa,stuff
176,tipo,Type
177,mañana,morning
178,podemos,can
179,dije,said
180,gran,great
181,necesito,needed
182,estado,condition
183,podría,could
184,acuerdo,agreement
185,papá,father
186,tener,to have
187,dice,He says
188,mío,Own
189,crees,You believe
190,buena,good
191,gusta,like
192,nuestro,our
193,nuevo,new
194,será,will be
195,haciendo,making
196,días,days
197,nombre,Name
198,buen,good
199,había,there was
200,ven,come
201,tres,three
202,menos,less
203,debe,must
204,tenía,I had
205,mal,wrong
206,conmigo,with me
207,madre,mother
208,hoy,today
209,quien,who
210,sido,been
211,mamá,breast
212,tienen,have
213,luego,later
214,todas,all
215,allí,over there
216,toda,all
217,hora,hour
218,mujer,woman
219,visto,viewed
220,haces,you do
221,importa,It matters
222,contigo,with you
223,ve,go
224,tarde,afternoon
225,oye,hears
226,parte,part
227,haber,to have
228,hombres,mens
229,problema,issue
230,mas,plus
231,saber,to know
232,quería,wanted
233,aún,even
234,veces,times
235,nuestra,our
236,hacerlo,do it
237,cada,each
238,hizo,made
239,veo,I see
240,tanto,so much
241,razón,reason
242,ustedes,your
243,idea,idea
244,esos,those
245,van,go
246,quizá,Maybe
247,debo,I shall
248,alguna,some
249,cierto,certain
250,ud,You
251,muerto,dead
252,unos,some
253,estos,these
254,salir,leave
255,policía,policeman
256,realmente,Really
257,demasiado,too
258,familia,family
259,pueden,they can
260,cabeza,head
261,hemos,we have
262,amigos,friends
263,chica,girl
264,cariño,sweetie
265,lado,side
266,allá,there
267,entre,Come in
268,minutos,minutes
269,digo,say
270,serio,I laughed
271,cuidado,watch out
272,pasó,I pass
273,buenas,good
274,somos,are
275,amor,love
276,puerta,gate
277,ves,you see
278,vaya,wow
279,ah,ah
280,suerte,luck
281,eh,Hey
282,rápido,Quick
283,cuenta,bill
284,quizás,maybe
285,esas,those
286,pues,well
287,pasado,past
288,pensé,I thought
289,todavía,yet
290,hermano,brother
291,debes,you should
292,casi,almost
293,forma,form
294,chico,boy
295,ok,okay
296,dicho,saying
297,nueva,new
298,sabía,I knew
299,muchas,many
300,dentro,within
301,hice,I did
302,contra,against
303,auto,auto
304,camino,road
305,ayuda,aid
306,primera,first
307,hacia,towards
308,vi,saw
309,miedo,fear
310,adiós,bye
311,primero,first
312,debería,should
313,poder,can
314,niños,kids
315,sería,would
316,historia,history
317,hey,Hey
318,mientras,while
319,ciudad,city
320,dijiste,said
321,espero,wait
322,cuánto,how many
323,esposa,wife
324,pronto,early
325,chicos,Boys
326,cualquier,any
327,viejo,old
328,debemos,must
329,deja,let
330,año,year
331,muerte,death
332,hablando,talking
333,manos,hands
334,da,gives
335,loco,crazy
336,problemas,problems
337,mano,hand
338,guerra,war
339,semana,week
340,pasar,spend
341,vale,okay
342,cuál,which
343,viene,comes
344,volver,return
345,toma,taking
346,caso,case
347,agua,Water
348,haré,I will do
349,vete,go away
350,entiendo,I get it
351,horas,hours
352,personas,people
353,capitán,captain
354,adelante,ahead
355,niño,little boy
356,listo,clever
357,noches,nights
358,buenos,good ones
359,iba,I was going
360,juntos,together
361,dame,give to me
362,único,unique
363,déjame,let me
364,cerca,close
365,otros,others
366,sigue,follow
367,grande,great
368,arriba,up
369,jefe,boss
370,habla,speech
371,supongo,I guess
372,manera,way
373,quieren,They want
374,feliz,happy
375,significa,it means
376,sangre,blood
377,fin,finish
378,bajo,bass
379,llama,call
380,morir,To die
381,importante,important
382,hiciste,did
383,ojos,eyes
384,escucha,listen
385,entrar,get in
386,ningún,none
387,corazón,heart
388,diablos,Devils
389,necesitamos,need
390,atrás,behind
391,durante,during
392,dices,You say
393,nuestros,our
394,persona,person
395,abajo,down
396,dr,Dr.
397,hija,daughter
398,dejar,let
399,necesita,needs to
400,llegar,get
401,hago,I make
402,señora,Mrs
403,haya,is
404,suficiente,enough
405,doctor,doctor
406,gustaría,would like
407,tierra,Earth
408,cara,expensive
409,siquiera,even
410,genial,cool
411,cree,Believe
412,supuesto,supposed
413,tomar,drink
414,equipo,equipment
415,justo,just
416,juego,play
417,ninguna,none
418,matar,to kill
419,cinco,five
420,dicen,They say
421,amo,love
422,cuándo,when
423,pequeño,little
424,algunos,Some
425,conozco,know
426,clase,class
427,maldito,damned
428,unas,nail
429,muchos,Many
430,hubiera,had
431,segundo,second
432,aunque,though
433,pueda,I can
434,dime,tell me
435,igual,Same
436,comida,food
437,ay,Oh
438,cuerpo,Body
439,encontrar,find
440,fuerte,strong
441,vuelta,lap
442,venga,come on
443,creer,believe
444,realidad,reality
445,saben,They know
446,puta,bitch
447,deberías,you should
448,pregunta,Question
449,fui,I was
450,cuatro,four
451,sra,Mrs
452,primer,first
453,trabajar,to work
454,e,and
455,hagas,you do
456,alto,tall
457,maldita,damn
458,comer,to eat
459,número,number
460,dar,to give
461,necesitas,you need
462,oportunidad,chance
463,punto,point
464,misma,same
465,última,last
466,afuera,outside
467,mujeres,women
468,pensar,to think
469,fueron,were
470,difícil,hard
471,vivir,to live
472,paso,step
473,malo,bad
474,estabas,You were
475,vivo,live
476,haga,make
477,queda,remains
478,hijos,sons
479,mayor,elderly
480,fiesta,party
481,hacen,make
482,medio,medium
483,algunas,some
484,basta,Enough
485,arma,weapon
486,vino,came
487,meses,months
488,cuarto,fourth
489,éste,East
490,escuela,school
491,esté,East
492,dólares,Dollars
493,tío,uncle
494,posible,possible
495,tuve,I had
496,fácil,easy
497,preocupes,worry
498,luz,light
499,eran,were
500,carajo,fuck
501,final,final
502,lista,ready
503,trata,about
504,armas,weapons
505,hermana,sister
506,exactamente,exactly
507,chicas,girls
508,podía,could
509,bastante,Quite
510,seguridad,security
511,pasando,going
512,esperando,hoping for
513,acá,here
514,teléfono,telephone
515,perro,dog
516,fuego,fire
517,murió,he died
518,tampoco,either
519,sola,alone
520,estuvo,he was
521,verte,to see you
522,iré,I will go
523,tenido,Dyed
